,groups,premise,hypothesis,gold explanations,labels,ST explanation,MT explanations
11834,3138018309.jpg#3r1n,A boy in sports themed pajamas is in front of a Christmas tree.,the kid is in front of the tree on christmas eve,Just because the boy is standing in front of the Christmas tree does it mean that it is Christmas Eve.,1.0,The boy is not necessarily in front of the Christmas tree on Christmas eve.,The boy may not be on Christmas Eve.
17694,49609558.jpg#0r1n,Four children are wearing blue hats with colored streamers.,Four kids are wearing birthday party hats.,Just because the kids are wearing alike hats does not mean they're birthday party hats.,1.0,Not all hats are birthday party hats.,Wearing hats does not imply they are wearing birthday party hats.
10924,766061382.jpg#4r1e,A bare chested smiling child plays in water.,There is a topless child playing in the water.,A bare-chester child is a topless child.,2.0,Topless is a rephrasing of bare chested.,bare chested is topless.
5711,4916474078.jpg#0r1e,A woman examines a poster mounted on the wall of a tunnel or hallway lit by overhead fluorescent lights.,There is a woman under fluorescent lights.,The woman is examining a poster using fluorescent lights,2.0,"If a woman examines a poster mounted on the wall of a tunnel or hallway lit by overhead fluorescent lights, then the woman is under fluorescent lights.",Examines a poster implies she is under fluorescent lights.
24826,399212516.jpg#4r1e,Young children waving American flags for a soldier,Children are waving flags.,Children are young. Flags include all types including American flags.,2.0,Young children are children and American flags are flags.,Young children are children.
26348,2678343915.jpg#3r1e,A man wearing protective gear grinds down a large metal object.,There is a man working.,The man is working by grinding down on a large metal object.,2.0,"If a man grinds down an object, then he is working.",Grinding down an object is working.
14089,230486268.jpg#3r1n,A little boy in a red shirt and swim trunks plays at the beach.,The boy is having fun.,"Circumstances are not explained, so the boy may not be having fun.",1.0,The boy is having fun by playing at the beach.,Just because a boy plays at the beach doesn't mean he is having fun.
23253,2354064281.jpg#4r1e,Two dogs in a grassy field.,Two dogs are outside.,Grassy field is considered outside.,2.0,A grassy field is outside.,A grassy field is outside.
9202,6881116831.jpg#2r1c,A group of people in bright green vests are purchasing food.,A group of people standing around waiting for a bus.,A group of people can not be standing around waiting on a bus and purchasing food.,0.0,People cannot be purchasing food and standing around waiting for a bus simultaneously.,People purchasing food are not always waiting for a bus.
6466,4515460.jpg#2r1c,A man in a construction vest is looking at a vehicle.,A man in a sweater vest is looking at a limo.,A man can be either in his construction vest or sweater vest.,0.0,The vest is either a construction vest or a sweater vest. The vehicle is either a vehicle or a limo.,The man can't be in both a construction vest and a sweater vest.
1679,6293805900.jpg#0r1n,A swimmer is performing the breaststroke in an indoor swimming pool set up for a competition.,A swimmer is winning,You can not infer the swimmer is winning.,1.0,Just because a swimmer is performing the breaststroke doesn't mean that they are winning.,The swimmer is not necessarily winning.
13350,3404012438.jpg#4r1c,A dog chasing a duck in a pond.,A dog is sitting for his owner.,a dog would either be  chasing or  sitting,0.0,A dog can't be chasing a duck and sitting at the same time.,The dog can't be sitting and chasing a duck at the same time.
24917,3374054694.jpg#0r1n,A woman with a vest and red shirt is holding her hand up above a black and white dog that is jumping.,The vest is nice and warm.,A woman wearing the vest does not imply that it is nice and warm.,1.0,Not all vest is nice and warm.,The vest is not necessarily nice and warm.
23569,3171402701.jpg#4r1c,People at a farmer's market.,People are at a grocery store.,A farmer's market and a grocery store are not the same thing.,0.0,A farmer's market is not a grocery store.,A farmer's market is not a grocery store.
1389,6386779555.jpg#1r1n,A dark-skinned man in white shirts and a black sleeveless shirt flips his skateboard on a cement surface surrounded by tall buildings and palm trees.,a man does a skateboarding trick on a cement surface,Someone who flips their skateboard is doing a trick.,2.0,A man flips his skateboard on a cement surface is a rephrasing of a man does a skateboarding trick on a cement surface.,A man flips his skateboard on a cement surface is a man doing a skateboarding trick.
20961,2431120202.jpg#2r1c,A girl crosscountry skis.,A girl is strolling down the park.,A person cannnot crosscountry ski while strolling down the park.,0.0,A girl can't crosscountry ski and strolling down the park at the same time.,Strolling is not crosscountry skiing.
16086,3304556387.jpg#4r1e,A man playing fetch with two brown dogs.,A man has two dogs playing.,Two dogs are playing fetch.,2.0,A man playing fetch with two brown dogs implies that the man has two dogs playing.,A man playing fetch with two brown dogs implies that the man has two dogs playing.
17,1034985636.jpg#3r1n,A man playing an electric guitar on stage.,A man is performing for cash.,it is unknown if the man is performing for cash.,1.0,Just because a man is playing an electric guitar on stage does not mean he is performing for cash.,The man is not necessarily performing for cash.
25608,3365348059.jpg#3r1e,a blond woman kissing the cheek of a brown-haired man.,A man and a woman sharing a kiss on the cheek.,the man and a woman sharing a kiss on the cheek are blond and brown-haired respectively,2.0,A man and woman kissing the cheek of a woman implies sharing a kiss.,A man and woman kissing the cheek of a brown-haired man means they are sharing a kiss.
4414,4876043682.jpg#0r2n,A boy in a yellow t-shirt and pink sweater talks on a cellphone while riding a horse through a crowd of people who are looking on.,A boy has a light yellow t-shirt and pink sweater.,Not all boys are wearing a light yellow t-shirt and pink sweater.,1.0,Not all yellow t-shirts are light.,Not all yellow t-shirts are light yellow.
21575,289616152.jpg#0r1c,"A guy on Rollerblades, sliding across a rail.",The skateboarder rides the rail.,Only the skateboarder uses a Rollerblade to rail,2.0,A guy is a skateboarder.,A guy on rollerblades is not necessarily a skateboarder.
15243,22779038.jpg#0r2c,Two men wearing red jackets are looking out over some water and one man has yellow earphones on his ears.,The jackets are blue.,Red jackets are not blue jackets.,0.0,The jackets are either red or blue.,The jackets cannot be both red and blue.
3010,3341117695.jpg#3r1c,A cyclist dressed in black and white is pointing.,A cyclist dressed in black and white eats cheese.,"The initial sentence indicates that the cyclist is pointing; however, the second sentence suggests that the cyclist is eating.  Both actions are two independent actions.",0.0,The cyclist can't be pointing and eating at the same time.,The cyclist is either pointing or eating cheese.
19469,2774501339.jpg#0r1n,A young man dressed up with a yellow tie jumps against a wall and one foot is left against the wall to push away.,The young man jumping against the wall is hispanic.,"the young man does not need to be hispanic, he can be any race.",1.0,Not all young men are hispanic.,Not all young men are hispanic.
18734,3436074878.jpg#4r1e,A dog biting a man's rear,An animal is biting a man.,A dog is an animal.,2.0,A dog is an animal.,A dog is an animal.
18333,4871416563.jpg#1r1n,A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people,The attractive brunette in a red visor gets a lot of attention from the crowd as she holds a white umbrella.,All brunettes aren't attractive. Brunettes in a crowd don't necessarily get a lot of attention.,1.0,Not all women are attractive.,The woman is not necessarily attractive.
23690,4878818161.jpg#2r1e,A woman crosses the street with a baby in her arms.,A woman crosses the street carrying her baby.,baby in her arms is rephrasing of carrying her baby.,2.0,"A woman crosses the street with a baby in her arms, while at the same time wouldn't just be a woman carrying her baby.","If a woman crosses the street with a baby in her arms, she is carrying her baby."
28634,4848391416.jpg#1r1n,A man in khakis sitting at a table with a sign that reads 'poet for hire.',The male is a poet.,"If the man is at a table saying a poet is for hire, he is the poet.",2.0,Not all men are poets.,The man is not necessarily a poet.
3192,4486440297.jpg#1r1c,A woman in a blue top and pencil skirt walks by a balding man in a pinstriped suit.,They are walking on top of trees.,"The woman walks by the man, which implies that he is sitting and she's the only one walking.",0.0,"The woman and man are walking on top of trees, not the ground.",Just because a woman walks by a balding man in a pinstriped suit doesn't mean they are walking on top of trees.
10360,7995263133.jpg#0r1n,Young boy wearing pajamas lying down in bed and sleeping on a colorful striped pillow.,A young boy is sleeping at a sleep over.,A boy can sleep not at a sleep over too.,1.0,A young boy is sleeping on a colorful striped pillow.,Young boy wearing pajamas lying down in bed and sleeping on a colorful striped pillow does not indicate he is sleeping at a sleep over
729,4643839937.jpg#3r1e,A man in a plaid shirt looking through a telescope lens.,a man is looking through a telescope,telescope lens is inferred as telescope,2.0,A man is looking through a telescope is the same as a man is looking through a telescope.,man looking through a telescope lens is same as man is looking through a telescope
7071,401233263.jpg#3r1e,A boy in a hat and glasses is playing a guitar.,A boy is playing guitar.,"A boy is a person, and is playing guitar.",2.0,Both subjects are playing,A boy is playing guitar is the same as a boy is playing guitar.
14930,2869009633.jpg#3r1e,Women playing volleyball in the sand near the ocean.,Women playing a sport,Volleyball is a sport.,2.0,volleyball is a sport.,Volleyball is a sport.
3515,1409801982.jpg#3r1c,A chef explains different varieties of Tomatoes to consumers.,THe chef is eating fried chicken.,"Explaining and eating are different actions, and tomatoes and chicken are different foods.",0.0,Tomatoes are not fried chicken.,Tomatoes are not fried chicken.
24054,4911982235.jpg#0r1c,A man in a plaid shirt is walking on a street where there are advertisements in Chinese.,He is walking on his hands.,A man cannot be walking on a street and walking on his hands the same time.,0.0,A man can't be walking on his hands if he is walking on a street.,A man cannot be walking on his hands if he is walking on a street.
939,4735943244.jpg#0r1c,"A man wearing dark knee boots, a green cape, and a hat with two big feathers on the front is sitting by himself on a bench in front of a building with a blue and white patterned piece of wheeled luggage to his right while he rests both his hands on a walking stick.",A man in a red cape and a hat with three feathers sits by himself.,The hat can either have two or three feathers. Itâ€™s unlikely the man is wearing both a green cape and a red cape.,0.0,"A man wearing dark knee boots, a green cape, and a hat with","A man wearing dark knee boots, a green cape, and a hat with"
10491,539493423.jpg#4r1n,Man holding torch of fire.,The fire is large.,Not all the fires are large.,1.0,Not all fires are large.,The fire is not necessarily large.
1183,2434440948.jpg#0r1c,"A man stands speaking to a crowd of sitting people, all wearing business attire.",A boy is riding a wave on his surfboard.,The man is older than a boy.,0.0,A man is not a boy.,A man is not a boy.
15593,4953626913.jpg#0r1n,Two men sit together and a woman is not too far from them under a bridge as all three watch the water in front of them.,Water is nearby.,"If the water is in front of people, they could say the water is close or nearby to them.",2.0,Water in front of them implies water is nearby.,The water is not necessarily nearby.
6212,5988551357.jpg#2r1c,It looks like the clown has fallen off the horse.,The cowboy rode the bull to the buzzer.,"If you are riding something, you have not fallen off",0.0,The clown can't be a cowboy.,A clown is not a cowboy.
7880,2924305507.jpg#4r1n,A runner in a black and blue uniform competes in a race.,he is winning,You can not infer he is winning.,1.0,The fact that a runner competes in a race doesn't imply that he is winning.,Not all runners compete in a race are winning.
1329,3724623861.jpg#3r1c,a red-haired woman playing the violin,A woman holds a broken violin.,"The woman can't hold a violin then play a broken one, so the stories contradict themselves.",0.0,The violin is not necessarily broken.,A woman playing the violin doesn't mean she holds it.
8768,323875672.jpg#0r1c,"A young woman cooks a meal in a wok while conversing with another woman, as an illuminated shrine to Mr. T looks on.",Both of these women are clinically mute.,If both persons are mute they cant do a conversation.,0.0,"If one woman is conversing with another woman, they are not both clinically mute.",One cannot cook a meal if both are mute.
20565,4970594489.jpg#0r1n,An Asian wearing a pastel print shirt and sunhat pushing his cart up the street.,An Asian man is selling food.,An Asian can be of any gender. He may not be necessarily having food for selling on his cart.,1.0,The man is not necessarily selling food.,Pushing a cart up the street does not imply selling food.
29344,760702109.jpg#4r1n,A bearded man sits near a white van.,A man waiting for someone near a white van.,A man can sit without necessarily waiting for someone.,1.0,A man sitting near a white van is not necessarily waiting for someone.,A man sitting near a white van doesn't necessarily mean he is waiting for someone.
15537,455994083.jpg#2r1e,A man is holding a microphone in front of his mouth.,A male has a device near his mouth.,A microphone is a device to hold.   A device in front of his mouth is near his mouth.,2.0,"A man is a male, and microphone is a type of device.",A microphone is a device.
3030,6161755456.jpg#0r1e,A professional baseball catcher and behind him an umpire are knelt in action position and are awaiting the pitch.,There are people outdoors,Just because there are baseball players does not mean they are outdoors.,1.0,A professional baseball catcher and umpire are people and they are playing baseball outdoors.,Baseball is played outdoors.
4906,3296500180.jpg#1r1e,Man jumping over a rusty fence on a blue bicycle.,Man doing a trick riding his bicycle.,Jumping is doing a trick.,2.0,Jumping over a rusty fence does not imply doing a trick riding.,Jumping over a rusty fence is a trick riding bicycle.
14234,2173831145.jpg#1r1c,Two people walking outside in the woods in the winter time wearing jackets with hoods on them.,Two people are soaking up the sun in the summer time.,It can't be summer time if it's winter time.,0.0,Winter and summer are two different seasons.,Winter and summer are two different seasons.
15595,322628645.jpg#0r1e,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.",A woman is preparing food for a child.,"Asian woman is a type of woman, and younger Asian boy is a child.",2.0,A young Asian boy is a child.,A woman preparing food for a child is a rephrasing of an Asian woman preparing food for a boy.
12810,1131155939.jpg#4r1c,A dog is running in the waves at the beach.,The pet is laying on the couch.,A dog can't be running at a beach and laying on a couch at the same time.,0.0,The dog cannot be laying and running at the same time.,A dog is not a pet.
4307,3233560682.jpg#0r1e,"A group of men playing music, the man holding a guitar is talking to a man with drums.",A band is playing music.,A group playing music together is know as a band.,2.0,A group of men playing music is a band.,A group of men playing music is a band.
6787,8083076280.jpg#0r1e,"Three men are playing soccer, two of them in blue uniforms and the other in a bright green uniform.",Three men playing soccer.,Three men playing soccer is part of the overall description of them in a bright green uniform.,2.0,Soccer is played on a field.,Three men are playing soccer is same as three men are playing soccer
13151,6251875212.jpg#0r1e,"A man on a bike, with the sun beating down in the background, just launched off of a dirt ramp and is coming back down.",An bike rider jumping ramps on a sunny day.,"A bike rider jumping ramps is the same as launching off the ramp, and a sunny day implies that the sun is beating down.",2.0,Just because the sun is beating down doesn't mean it is a sunny day.,The sun is beating down on a sunny day.
28569,4813699569.jpg#0r1n,A couple walks hand-in-hand in front of Victorian-style building and a wall with a large sleeping baby painted on it.,A couple walks in front of a three story building.,A couple can walk in front of a building that is not necessarily a three story building.,1.0,Victorian-style building is not three story building.,Victorian-style building does not imply a three story building.
25705,6982756534.jpg#0r1n,A woman in a bright pink and green skirt carries a large wicker basket on her back up a stone-cobbled street.,The woman is carrying a basket down the street in Nepal.,Just because a woman is carrying a basket does not mean that she is in Nepal.,1.0,Not all stone-cobbled streets are in Nepal.,Not all stone-cobbled streets are in Nepal.
23239,3149185449.jpg#0r1e,A dark-haired man is smiling while in a storage unit while four other men stand outside the unit watching.,Four men are watching the storage unit.,the four men are watching the storage unit because the other man is in the storage unit smile,2.0,Men are watching the storage unit is a rephrasing of men are smiling while in a storage unit.,Four men are watching the storage unit implies a dark-haired man
18427,2759596272.jpg#1r1e,A young girl jumps off her swing in front of building.,girls jumps off swing,A young girl jumps off her swing is inferred as  girls jumps off swing,2.0,A young girl is a type of girl.,A young girl is a girl.
14046,325576658.jpg#1r1n,A man is sitting on a blue bench with a blue blanket covering his face.,A man is taking a nap on a bench.,"We have no idea the man is trying to nap, he could be sitting for a number of reasons.",1.0,Just because the man is sitting on a bench does not mean he is taking a nap.,Just because a man is sitting on a bench doesn't mean he is taking a nap.
5808,2690538407.jpg#4r1e,A small child is giving heavy metal signs,Kid showing the heavy metal hand sign.,A kid is a child.,2.0,Kid showing hand sign is a rephrasing of child giving heavy metal signs.,Kid is another word for small child.
6301,4896079336.jpg#4r1e,A topless man straps surfboards on top of his blue car.,A man secures surfboards on his car.,A topless man is a man and by him strapping/securing surfboards on his (blue) car.,2.0,A man straps surfboards on top of his blue car is same as man secures surfboards on his car,A man straps surfboards on top of his blue car. which at the same time wouldnt be A man secures surfboards on his car.
23365,2874728371.jpg#0r1e,A large brown dog and a small black dog stand near each other on a dirt patch surrounding by grass and weeds.,A big brown dog and a tiny black dog are standing in a field.,"A big dog and a small dog stand together in a field, which is made up of dirt, grass and weeds.",2.0,Large and big are different.,A brown dog and a small black dog are standing near each other on a dirt patch surrounding by grass and weeds does not mean they are standing in a field
29442,4876248951.jpg#2r1c,A woman in a teal apron prepares a meal at a restaurant.,A woman is walking in park,A restaurant is not a park.,0.0,The woman cannot be walking and preparing a meal at the same time.,The woman cannot prepare a meal at a restaurant and walk in a park at the same time.
19322,3938776000.jpg#1r1c,Two people using a water buffalo to cultivate a watery field.,Two people are swimming at the gym.,Two people cannot cultivate a watery field and swimming at the gym.,0.0,Two people cannot be using a water buffalo to cultivate a watery field and swimming at the gym simultaneously.,People cannot be swimming and cultivating a water buffalo at the same time.
17990,6181621171.jpg#1r1n,Five young indian girls dress in colorful dresses are holding hands and smiling forming a circle,Five girls are wearing different colored dresses.,Girls dress in colorful dresses doesn't necessarily mean that they are wearing different colored dresses.,1.0,The dresses are colorful so they are different colored dresses.,"The dresses are colorful, not different colored."
7907,751497345.jpg#1r1c,"A man in a blue shirt, blue jeans, and a red apron standing at a grill.",A man bakes a cake.,Standing at a grill cannot be done simultaneously with baking a cake.,0.0,A man cannot bake a cake and stand at a grill at the same time.,The man cannot be standing at a grill and baking a cake at the same time.
6711,3397433780.jpg#1r1e,"A man, with a blue wrapping around his foot, is about to kick another man, with a red cloth hanging from his belt, in the head.",a man is going to kick another man,"""A man is going to kick another man"" is a rephrasing of ""a man, with a blue wrapping around his foot, is about to kick another man, with a red cloth hanging from his belt, in the head.""",2.0,A man is about to kick another man means the same as a man is going to kick another man.,A man about to kick another man is about to kick another man.
2931,837919879.jpg#2r1e,Two people play horseshoes.,Tom and Sue were playing horseshoes.,There is no indication that the people's names are Tom and Sue.,1.0,Two people does not imply Tom and Sue.,Two people does not imply Tom and Sue.
26584,2579490116.jpg#4r1n,A moving truck with a ramp still attached.,A moving truck ready to move more belongings.,ramp  doesn't mean  move,1.0,A moving truck with a ramp still attached is not necessarily ready to move more belongings.,A moving truck with a ramp still attached is not necessarily ready to move more belongings.
27369,2536850983.jpg#3r1e,a group of construction workers busy refinishing a subway station.,A construction team working in a subway station.,Group is a synonym for team. Refinishing is a form of working.,2.0,Construction workers are a type of construction team.,Working is a synonym for busy.
23043,4525526342.jpg#4r1n,"An older man in a printed shirt, smoking on a busy street.",A man is smoking a cigar.,A man can smoke without smoking a cigar.,1.0,"A man can smoke anything, not just a cigar.",Not all cigars are a cigarette.
25525,3493399647.jpg#3r1n,Two adults hold either side of a boat at the edge of the water.,Two people are in the ocean.,There are other bodies of water besides an ocean.,1.0,The edge of the water is the ocean.,Not all water is the ocean.
18728,7700027818.jpg#4r1e,A man cycling on road and enjoying.,A man enjoys his bike.,cycling on road and enjoying is inferred as enjoys his bike.,2.0,The man is enjoying his bike because he is cycling on a road.,The man is cycling on a bike.
26459,3182509597.jpg#2r1e,Two men riding a boat in clear water on a sunny day.,A couple people are doing activities on a nice day in a boat.,There are a couple of people because there are two men.,2.0,Riding a boat is a form of doing activities.,Riding a boat is a form of doing activities.
18237,4717058364.jpg#4r1n,Topless girl riding a red bike.,The woman is tall.,Being topless does not mean that the woman is tall.,1.0,Not all women are tall.,Not all topless girls are tall.
28100,5759427006.jpg#0r1e,A small child dressed for winter stares across a lake while leaning on a mesh fence in a scenic park setting.,A small child dressed for winter stares across a lake while leaning on a mesh fence,"both sentences reference the same small child, who stares across a lake while leaning on a mesh fence.",2.0,A small child dressed for winter stares across a lake while leaning on a mesh fence is the same as a small child dressed for winter stares across a lake while leaning on a mesh fence.,A small child dressed for winter stares across a lake while leaning on a mesh fence is the same as a small child dressed for winter stares across a lake while leaning on a mesh fence.
26692,2924908529.jpg#4r1e,cheerleaders pose for the camera.,The cheerleaders are getting their picture taken.,Posing for the camera is what you do when your getting your picture taken.,2.0,Posing for the camera implies getting their picture taken.,Posing for the camera is a way of getting their picture taken.
1904,2764732789.jpg#3r1c,A longeared dog running in the grass.,A dog is being groomed at a parlor.,A dog is being groomed at a parlor can't be running in the grass.,0.0,A dog cannot be running in the grass and being groomed at a parlor at the same time.,The dog can't be running in the grass and be groomed at a parlor at the same time.
27421,3025265622.jpg#4r1e,A few women and children are collecting items from rocks.,People are taking things from rocks.,Women and children are people.,2.0,collecting items from rocks is the same as taking things from rocks.,collecting items from rocks is inferred as  taking things from rocks.
4402,2772784124.jpg#1r1n,A single person stands on a heavily-eroded cliff-side rock while holding a bare branch aloft.,A single person stands on a heavily-eroded large cliff-side rock,Large cliff-side rock is a rephrasing of cliff-side rock.,2.0,The cliff-side rock is heavily-eroded.,The cliff-side rock is heavily-eroded.
13551,7735272386.jpg#0r1n,"A woman in an American military uniform sits at a table and writes the words 'sad,' 'depressed,' and 'hatred' on a large sheet of white paper.",A woman in an American green military uniform is smiling.,"woman would not be smiling if she was writes sad, depressed and hatred on paper",0.0,The uniform is either green or American.,The woman is either writing or smiling.
16709,473988700.jpg#4r1c,A wet dog shaking off excess water in a field.,The man eats pants,dog doesn't mean man,0.0,A dog is not a man.,A wet dog is not the same as a man.
15800,1094462889.jpg#0r1n,A brown dog plays in a deep pile of snow.,A brown dog is outside and it's snowing,Deep pile of snow may not be always outside,1.0,A deep pile of snow implies it is snowing.,A deep pile of snow is outside.
13721,2890113532.jpg#0r1e,A brown dog and a black and white dog are running over grassy hills.,two dogs run,A brown dog and a black and white dog make two dogs in total. They are described as running.,2.0,Two dogs is a restatement of a brown dog and a black and white dog.,A brown dog and a black and white dog are two dogs.
7638,2371749487.jpg#3r1n,A boy pushing a girl on a toy SUV.,A boy is pushing a girl on a toy SUV inside of a nice house.,There is no evidence from sentence 1 that the boy was pushing the girl on a toy SUV inside of a nice house.  He might have been pushing her in the park or in the backyard outside.  I he was pushing her inside it could have been in a run down house.,1.0,A boy pushing a girl on a toy SUV doesn't imply that the girl is inside of a nice house.,The boy can't be inside of a house and pushing a girl on a toy SUV at the same time.
7712,3388094307.jpg#3r1c,A woman in a white tennis outfit is jumping up to hit the ball.,women at work,Women is plural while woman is singular,0.0,A woman cannot be at work and at home at the same time.,A woman is either at work or at the tennis court.
23566,4877121562.jpg#1r1n,Two men are shirtless on the beach on a beautiful day.,Two men are shirtless.,"Two men may be shirtless, by omitting where and why they the statement is too ambiguous of course there are two men somewhere.",1.0,shirtsless is same as shirtsless,Two men are shirtless is the same as two men are shirtless.
6284,3983222282.jpg#1r1n,A wall hung with multicolored crosses is visible behind the group of young men as they converse.,Young men are talking abuot love,Not just because they converse doesn't mean they are talking about love,1.0,Just because a wall is visible behind the group of young men as they converse does not mean that young men are talking abuot love.,The men may not be talking abuot love.
1427,2548027495.jpg#0r1n,A man in a black business suit stands upright next to a man wearing blue and leaning against a railing.,The man in the black suit is planning on robbing the man in blue next to him.,"Just because he is standing next to the man in blue does not mean he is planning on robbing him, this is not revealed until the second sentence",1.0,Standing next to a man does not imply planning on robbing him.,A man standing next to a man wearing blue and leaning against a railing is not necessarily planning on robbing the man in blue.
6895,2719343003.jpg#2r1c,A boy with no shirt is standing in water.,The boy is sitting on the couch.,A boy sitting on the couch can not be standing in water.,0.0,A boy cannot be standing and sitting at the same time.,The boy cannot be standing and sitting at the same time.
17656,6278649113.jpg#1r1c,A person in blue is the only person currently throwing their ball at a bowling alley.,The person is eating nachos.,A person can't eat nachos and throw their ball at the same time.,0.0,One cannot be throwing and eating at the same time.,The person can't be throwing a ball and eating at the same time.
14457,3875226464.jpg#1r1e,A man with a beer in his hand listens to a woman talk.,A man has a beer with him.,The man with a beer has a beer.,2.0,A man with a beer in his hand is a man with a beer with him.,"If the man has a beer in his hand, then he has a beer with him."
22576,7591663030.jpg#1r1c,A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road.,A man is walking on the sidewalk.,Man can't be walking on sidewalk if he is riding motorcycle,0.0,A man can not be riding a motorcycle and walking at the same time.,The man cannot be riding a motorcycle and walking at the same time.
22042,33459741.jpg#2r1n,A woman with a black and white dress on is carrying a green plastic laundry basket in front of an apartment building.,The woman is doing laundry.,She is just carrying a plastic laundry basket she is not doing laundry.,1.0,Carrying a laundry basket is a way of doing laundry.,Carrying a laundry basket implies doing laundry.
10766,3330935489.jpg#4r1n,The white dog is pulling a large stick.,The dog is playing tug of war with a stick.,The dog may be pulling a stick without playing tug of war.,1.0,Just because the dog is pulling a large stick does not mean it is playing tug of war.,Not all dogs pulling a stick are playing tug of war.
18503,640028992.jpg#4r1e,The person is reading a book.,A person reads.,Is reading a book is a paraphrase of reads.,2.0,"The person is reading a book, therefore the person reads.",A person is reading a book.
8205,3475111806.jpg#2r1e,a man takes a picture of another two men in a crowd.,a man takes a picture of  two men in a crowd.,There is a man that takes a picture of another two men in a crowd.,2.0,A man takes a picture of two men in a crowd is the same as a man takes a picture of two men in a crowd.,A man takes a picture of another two men is the same as a man takes a picture of two men.
16127,4896079336.jpg#4r1c,A topless man straps surfboards on top of his blue car.,A man is sitting on the couch.,ONE CANNOT BE SITTING ON THE CROUCH AND STRAPS SURFBOARDS SIMULTANEOUSLY,0.0,A man cannot be sitting on the couch and surfing on top of his blue car at the same time.,A man cannot be sitting on the couch and on top of his blue car at the same time.
23986,2338968043.jpg#4r1e,Two people are running in the grass by a hill.,The people are running outside.,The grass is outside.,2.0,Grass is outside.,Grass is outside.
4656,2460159430.jpg#0r1n,"A dog running in long grass, a housing development behind it.",A dog is running back home.,The housing development does not mean it's his home.,1.0,Running in long grass does not imply running back home.,"A dog running in long grass, a housing development behind it does not indicate it is running back home"
2585,4869034562.jpg#1r1c,An elderly woman wearing a skirt is picking out vegetables at a local market.,A young girl is blowing bubbles.,Young is the opposite of elderly.,0.0,A young girl is not an elderly woman.,An elderly woman is not a young girl.
2074,57691053.jpg#4r1e,Three women are dressed in ninja costumes.,There are multiple people present.,Three women can be comes under the list of multiple people,2.0,Three women are multiple people.,Three women are multiple people.
14209,4898966335.jpg#1r1n,A young girl in glasses observes something in the distance.,A girl is looking at the sky from far away.,Just because a girl is observing something does not mean it is the sky.,1.0,"If the girl observes something in the distance, she is looking at the sky from far away.",A girl observing something in the distance is not necessarily looking at the sky from far away.
