,groups,premise,hypothesis,gold explanations,labels,ST explanation,MT explanations
25086,2154062056.jpg#2r1n,Two young teenage girls hiking through the snow on a cold winter day.,Two girls with blonde hair are hiking.,All girls do not have blonde hair.,1.0,Not all teenage girls have blonde hair.,Not all teenage girls have blonde hair.
7370,4871633378.jpg#3r1e,Twenty five people are marching.,A big group marches around.,The group is big because there are twenty five people in the group.,2.0,Not all marches are big.,A group of twenty five people marching around.
11377,3143159297.jpg#2r1c,A smiling man and a baby girl posing for photo.,A girl poses for a selfie with her mother.,A man can't be a girl posing for a selfie as a girl with her mother.,0.0,Posing for photo does not imply it is for a selfie.,"The man and the girl are posing for a photo, but it doesn't mean that they are posing for a selfie with their mother."
22578,837919879.jpg#2r1c,Two people play horseshoes.,Sally was riding her horse.,There are two people or just Sally. They are playing horseshoes or riding a horse.,0.0,Sally is not two people.,"Sally is a woman and she is riding her horse, not playing horseshoes."
6378,369360998.jpg#0r1n,A woman outside in the snow holds a container that produces steam.,A women about to make hot water turn into snow by throwing the hot water in the air.,Just because a woman outside in the snow holds a container that produces steam does not mean she is throwing hot water in the air.,1.0,A woman can't be outside and about to make hot water.,Just because a woman is outside in the snow does not mean she is about to make hot water turn into snow.
22268,5238681042.jpg#4r1e,Workers are removing ice from a walkway.,Workers outside on a slippery walkway,Workers removing Ice from a walkway will be outside obviously and ice will be slippery.,2.0,The walkway may not be slippery.,Ice is a slippery walkway.
11974,1414412467.jpg#0r1e,A man in a colorful shirt and a lady in a white blouse sign copies of books for people.,Two people sign copies of books.,A man and a lady equals two people.,2.0,A man and a lady are two people.,A man and a lady are two people.
5378,89202781.jpg#0r1e,A lady with blue jeans and a brown shirt is speaking on her cellphone on the second floor of the mall.,the lady is talking on her phne,Talking on her phne is a paraphrase of speaking on her cellphone.,2.0,A lady is talking on her phone on the second floor of the mall.,Speaking on her cellphone does not necessarily mean talking on her phne.
26937,2346468781.jpg#3r1c,Two friends having a laugh.,Two friends are having a picnic.,You can laugh at a picnic.,0.0,Two friends having a laugh are not necessarily having a picnic.,Having a laugh does not imply having a picnic.
26739,4749855.jpg#1r1e,Man sleeping in a couch in a sitting position wearing a blue jeans and a plaided shirt,There is someone sleeping on the couch.,"The ""Man"" is ""someone"" sleeping on the couch",2.0,A man is someone.,A man is someone.
3257,3419555245.jpg#0r1c,"While one man, in the white cap, is golfing, three other men are in the middle of a conversation.",Four guys go bowling at the lanes.,In the first sentence one man is golfing while three men converse and in the second sentence four men go golfing.,0.0,One man is golfing and the other guys are bowling.,The men can't be golfing and bowling at the same time.
12001,438639005.jpg#0r1e,A boy in red and a girl pink are walking through a low cut field.,Kids are walking in a field.,A boy and a girl walking through a field are kids walking in a field.,2.0,A boy and a girl are kids.,A boy and a girl are kids.
4542,4089350664.jpg#4r1c,A man in a army uniform is holding a picture with trees in it.,"The man, wearing scuba gear, jumps off the side of the boat into the ocean below.",There is either a man wearing an army uniform and holding a picture or a man wearing scuba gear and jumping from a boat into the ocean.,0.0,A man cannot be holding a picture and jumping off the side of the boat at the same time.,A man can't be holding a picture and jumping off the side of the boat at the same time.
11267,4702013646.jpg#0r1c,Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.,The two men are wearing jogging clothes.,Skirts are dresses and mean usually don't wear them especially to jog. Jogging cloths are made for jogging,0.0,Jogging clothes are not the only type of clothing that can be worn by men.,Jogging clothes are not the same as hula grass skirts.
7870,49609558.jpg#0r1n,Four children are wearing blue hats with colored streamers.,Four kids are wearing birthday party hats.,"They may be regular hats or party hats, they don't need to be birthday hats",1.0,Just because they are wearing hats does not mean it is a birthday party.,Not all blue hats are birthday party hats.
26640,4730076543.jpg#0r1n,A man and a woman are standing at the side of an inflatable climbing structure.,A man and a woman are talking,People can stand by each other without talking.,1.0,A man and a woman standing at the side of an inflatable climbing structure does not indicate they are talking,Just because a man and a woman are standing at the side of an inflatable climbing structure doesn't mean they are talking.
11993,4552868920.jpg#4r1n,A man standing alone in a park.,a man alone in the park up to no good,Just because a man is alone in a park does not mean that he's up to no good.,1.0,Standing alone does not imply he is up to no good.,Standing alone does not imply being up to no good.
8609,4612143549.jpg#2r1e,Four people walk across stepping stones in a body of water.,Four people are standing up.,In order for one to walk they must be standing up.,2.0,Walking and standing are different.,People cannot be walking and standing at the same time.
11371,3169184260.jpg#2r1c,Boy in green pajamas play with his toy while his mother sits on the couch and watches him.,A boy in white pajamas plays.,His pajamas must either be green or white.,0.0,Green is not white.,The pajamas can't be both green and white.
11756,3246016210.jpg#4r1e,One man cutting through ice on a cold day.,The man is cutting through ice.,"""The man is cutting through ice"" is a rephrasing of ""one man cutting through ice.""",2.0,A man is cutting through ice on a cold day.,A man is cutting through ice is the same as a man is cutting through ice.
18541,4959476952.jpg#2r1e,Women are working and digging in a field.,Women are digging.,Digging and Digging are the same thing.,2.0,Women are digging is the same as women are digging.,Women are digging is a rephrasing of women are working and digging.
4191,2821356536.jpg#4r1c,Two men roasting marshmallows in a fire pit.,The fire pit has been put out,You cannot roast marshmallows in a fire which has been put out.,0.0,The fire pit is not necessarily being put out.,A fire pit cannot be roasting marshmallows and put out at the same time.
25729,2766640854.jpg#1r1e,"A man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats.",A man sits in a floating raft by some boats.,An inflatable boat is a raft.,2.0,A man sitting in a boat is not necessarily sitting in a floating raft.,"A man is holding on to a piece of rope, sitting in an inflatable boat, in front of several other larger boats does not indicate he sits in a floating raft"
20130,3289817083.jpg#2r1e,A man holding a baby who is petting a pony.,A man with a baby is petting a pony.,The man is holding a baby who is petting a pony.,2.0,The man holding the baby is the same man with the baby.,A man holding a baby is the same as a man with a baby.
16768,1067675215.jpg#2r1n,A man laying down in middle of street during heavy traffic.,The traffic made a guy fall asleep.,"Traffic would not cause a human to fall asleep, and we can not assume that a man laying down in the middle of a street is trying to sleep.",1.0,A man laying down in middle of street during heavy traffic does not mean that traffic made a guy fall asleep.,A man laying down in middle of street during heavy traffic does not mean he fell asleep
1720,5503955724.jpg#1r1n,A game of rugby in which 2 players are attempting to stop there opponent from catching a ball in midair.,The players are playing rugby in a championship game.,Not all rugby games are the championship game.,1.0,Just because players are catching a ball in midair does not mean it is a championship game.,The game may not be a championship game.
11725,2210065293.jpg#0r1n,"A group of people, mostly in straw hats, follow a man onto a beach covered with many large rocks.",They plan to go throw rocks into the water,Not everyone like to throw rocks in water.,1.0,follow a man onto a beach does not mean they plan to throw rocks into the water,Just because they are following a man does not mean they are planning to throw rocks into the water.
14426,2313230479.jpg#2r1e,A brown dog and black and white dog run along the green grass.,Two dogs run in the grass.,GRASSES ARE GENERALLY GREEN,2.0,Two dogs run in the grass is a rephrasing of a brown dog and black and white dog run along the green grass.,"The dogs run along the grass, so they are running in the grass."
15771,4704668708.jpg#3r1e,Child is laughing and playing around.,The child is having a good time and cracking up.,"Cracking up means laughing, and playing around is a way of having a good time.",2.0,A child can laugh without cracking up.,The child is not necessarily cracking up.
148,1680409989.jpg#0r1e,A person with a purple shirt is painting an image of a woman on a white wall.,A woman paints a portrait of a person.,A person with a purple shirt could be either a man or a woman. We can't assume the gender of the painter.,1.0,A person is painting a portrait of a person.,A person painting is not necessarily painting a portrait.
5981,2724761798.jpg#0r1n,Two women drink coffee and chat while sitting on a blanket near a rocky shore.,Two women are having a picnic on the beach.,You can not infer they are having a picnic.,1.0,The beach is not the only place to drink coffee and chat.,Two women cannot be sitting on a blanket and having a picnic on the beach at the same time.
20371,435966316.jpg#1r1c,"Three workers, with life vests and hard hats, on a boat hanging from cables over water.","4 fisherman are hanging over the boat, trying to pet the shark",There are either three or 4 people.,0.0,Three workers are not 4 fisherman.,The workers are either on a boat or are hanging over the boat.
9457,1931018353.jpg#4r1c,3 people are shopping in a market.,The three people are watching television together.,Shopping and watching television are different activities.,0.0,Shopping is not watching television.,Shopping and watching television are two different activities.
21624,3120648767.jpg#1r1c,A man is riding his dirt bike through the air in the desert.,A man is watching another man skateboard at a park.,The man can't be riding a bike while watching another man.,0.0,The man can't be riding his dirt bike and watching another man skateboard at the same time.,The man cannot be riding his dirt bike and watching another man skateboard at the same time.
13067,275170445.jpg#2r1n,"Asian men sitting down, and some of them are wearing white and pink hats, while the others are wearing blue jackets with yellow sashes.",A group of adults are waiting for an event.,They may not be waiting for any event,1.0,Men sitting down does not imply they are waiting for an event.,Just because the men are sitting down doesn't mean they are waiting for an event.
5382,7599430126.jpg#2r1c,"A man, with a full face mask, sits on a sidewalk playing the guitar.",A woman is wearing a mask,A man is not a woman.,0.0,A man is not a woman.,A man is not a woman.
11002,2428086758.jpg#4r1c,The big dog is checking out the smaller dog.,"Two cats standing together, one is big and the other is small.","Those are two dogs, not two cats",0.0,Cats and dogs are different animals.,Cats and dogs are different animals.
13684,499830218.jpg#2r1n,"A man with a blue, collared shirt sits in front of another man.",a man is looking at his friend,When a man sits in front of another person it does not imply that the man is his friend.,1.0,The man may not be looking at his friend.,A man sitting in front of another man doesn't mean he is looking at his friend.
7554,7582869910.jpg#3r1c,A group of people cleaning some kins of sea animal.,Everyone is asleep in their bed,They are either cleaning or asleep. They are either in their bed or at another location,0.0,People can't be cleaning and asleep at the same time.,Cleaning is not asleep.
16586,4571889191.jpg#2r1n,A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other.,The two friends are reunited after years apart,People can sit together without being friends.,1.0,Just because two men are seated next to each other does not mean they are reunited after years apart.,A man with a cowboy hat and a gentleman with sunglasses on his head are seated next to each other does not mean they are reunited after years apart
5032,213759069.jpg#0r1n,A little boy watches from his stroller as an older boy with a yellow balloon wanders a few steps away in a fair like setting.,A boy has a light yellow balloon.,it is not mentioned that the balloon color is light yellow,1.0,Not all yellow balloons are light yellow.,Not all yellow balloons are light yellow.
13627,4871268492.jpg#2r1c,A baby is looking into what looks like a telescope.,A baby is playing with a smartphone.,If a baby is looking into a telescope then the baby is not playing with a smartphone.,0.0,The baby can't be looking into a telescope and playing with a smartphone at the same time.,A baby can't be looking into a telescope and playing with a smartphone at the same time.
25001,86132021.jpg#0r1n,"A man wearing only a hat, boots, and underwear is walking the sidewalk with a guitar strapped around his shoulder.","A man wearing only a hat, boots, and underwear is walking the sidewalk at night",Walking on a sidewalk in his underwear doesn't imply he's doing so at night.,1.0,Just because a man is walking the sidewalk with a guitar strapped around his shoulder it does not mean it is night.,Just because a man is walking the sidewalk with a guitar strapped around his shoulder it does not mean he is walking at night.
24112,7601453166.jpg#1r1n,A man is painting letters using a stencil onto a round stand-up sign that is lying sideways.,A guy works on a sign by putting letters on its round surface while it's on the ground.,The guy may be paintin on a sign lying sideways on any flat surface and not necessarily on the ground,1.0,"A man is a guy. stencil is a type of sign. If it is lying sideways, it is on the ground.",A man is a guy. stencil is a type of sign.
2433,4600994701.jpg#4r1e,A child is surrounded by a field of sunflowers.,A kid and some flowers.,A child is a kid and sunflowers are flowers.,2.0,A child is a kid.,A child is surrounded by a field of sunflowers simply means kid and some flowers
7896,4808328732.jpg#0r1c,A woman lying in the grass in the park is wearing a red top and black capri pants and is barefoot.,A woman is sitting on a park bench wearing sandals.,Lying and sitting are two different actions.  Barefoot means not wearing shoes and sandaIs are a type of shoe.,0.0,The woman cannot be lying in the grass and sitting on a park bench simultaneously.,The woman cannot be barefoot and wearing sandals simultaneously.
17613,3801367099.jpg#1r1n,"A man is outdoors looking directly at the camera, and in front of him is a yellow flower.",The man poses with a yellow flower.,For the man to be near the yellow flower implies posing with it.,2.0,"A man poses with a flower, and the flower is yellow.","A man is outdoors looking directly at the camera, and in front of him is a yellow flower does not indicate that he poses with a yellow flower."
16371,2746072388.jpg#2r1n,A baby is eating aqua-colored cake very messily.,A baby eating cake celebrating it's birthday.,A baby is eating cake doesn't imply the baby is celebrating it's birthday.,1.0,The baby may not be celebrating its birthday.,A baby eating cake messily does not imply it is celebrating it's birthday.
5050,3954384143.jpg#1r1n,"While two students are jumping, others in a classroom are sitting or standing.",Two students disrupting class.,Just because two students are jumping in class does not mean that they are the ones disrupting class.,1.0,"Students jumping, others in a classroom are sitting or standing does not imply they are disrupting class",Students jumping in a classroom are not necessarily disrupting class.
21609,474784914.jpg#1r1n,People looking at their reflection and the reflection of a city in a long irregular shaped mirror,People look at their reflection in New York City.,The city does not have to be New York City.,1.0,Not all cities are New York City.,The reflection could be from any city not just New York City.
15757,2255685792.jpg#3r1n,Three people on skis are standing behind a no skiing sign.,Three friends standing on top of a ski mountain.,Just because three people on skis are standing behind a no skiing sign does not mean they are friends.,1.0,Just because three people are standing behind a no skiing sign doesn't mean they are friends.,Three people standing behind a no skiing sign does not indicate they are friends
3336,4960164914.jpg#3r1c,Two people sitting on the sand.,The people are standing.,The people are either standing or sitting on the sand.,0.0,People cannot be sitting and standing at the same time.,The people can't be sitting and standing at the same time.
27025,5793422010.jpg#2r1e,Many women trying out and looking at laptops in a Walmart.,Women are shopping for computers at a large store.,Shopping for computers refers to looking at laptops and Walmart is a large store.,2.0,Walmart is a large store.,Laptops are computers.
10343,3720932219.jpg#1r1c,The woman in the black shirt hands papers to the children surrounding her.,Woman is keeping the paper to herself.,The woman canâ€™t hand the paper while keeping it for herself.,0.0,Handing papers to children does not imply keeping the paper to herself.,The woman is either handing papers to the children or keeping the paper to herself.
12688,6845811278.jpg#2r1c,An older man is riding a bike with a blue laundry hamper full of clothes on his handlebars.,The girl sold some cookies.,Answer: There are two people a girl selling cookies and a older man riding a bike.,0.0,The subject cannot be a man and a girl.,"The older man is riding a bike, not a girl."
3156,2847633529.jpg#0r1n,A couple has been photographed through a gap in the fence while they are sitting near the water.,The couple is married.,"Just because the couple was photographed together, doesn't mean they're married.",1.0,Just because a couple has been photographed through a gap in the fence while they are sitting near the water does not mean they are married.,A couple is not always married.
2356,3969232921.jpg#1r1e,"Two middle-aged police officers watch over a parking lot, at night.",A couple cops keep an eye on the parking lot.,Keep an eye on and watch over are roughly synonymous.,2.0,A couple cops watch over a parking lot is the same as a couple cops keep an eye on the parking lot.,A couple of cops is two middle-aged police officers.
19349,4450905295.jpg#0r1n,A man is holding an accordion while leaning against a brown fence that overlooks some water.,An accordion player leans against his fence,Just because a man is holding an accordion doesn't necessarily mean that he is an accordion player.,1.0,Leaning against a brown fence does not imply that the fence is his.,A man is holding an accordion while leaning against a brown fence that overlooks some water does not indicate he is an accordion player
554,3240570205.jpg#0r1c,"One young boy in a yellow long-sleeved shirt and jeans sitting down, with five adults in front of him, one operating a video camera.",A young boy juggling three red balls while blindfolded.,The boy cannot be juggling and sitting down at the same time.,0.0,One cannot be operating a video camera and blindfolded at the same time.,One cannot be operating a video camera and blindfolded simultaneously.
18864,24321674.jpg#1r1c,Two young boys wearing shorts and sandals throw pebbles from a dirt path into a body of water.,The two young boys are playing kickball at the park.,The two young boys either throw pebbles from a dirt path or are playing kickball at the park.,0.0,Kickball and pebbles are different.,The boys cannot be playing kickball and throwing pebbles at the same time.
3695,3255732353.jpg#0r1e,"Two girls in winter jackets, knit hats, and glvoes are outside in the snow.",The girls are cover head to toe.,The girls are not necessarily covered head to toe.,1.0,Cover head to toe is different than winter jackets and glvoes.,The girls can either be in the snow or cover head to toe.
14735,2403376030.jpg#2r1c,A woman in a black hooded sweatshirt walking with a large dog.,A woman giving her dog a bath,A WOMAN CANNOT BE WALKING WITH A DOG AND GIVING A DOG A BATH SIMULTANEOUSLY.,0.0,The woman cannot be walking with a large dog and giving her dog a bath at the same time.,A woman cannot be walking with a large dog and giving her dog a bath at the same time.
21760,4729067306.jpg#0r1c,A girl in a pink sundress pushes a scooter past a row of orange construction barrels.,A boy is pushing the scooter.,It's either a boy or a girl.,0.0,A girl is not a boy.,A girl is not a boy.
9578,1464120327.jpg#3r1c,Little boy peering into a glass display case.,a girl is walking,A little boy is not a girl.,0.0,A boy is not a girl.,A boy is not a girl.
17309,55389857.jpg#1r1c,A man is working in an art studio and is surrounded by art supplies.,a man is at an auto shop.,"Men make art at art studios, but only fix cars at an auto shop. These are different types of businesses. He cannot fix cars at an art studio.",0.0,An art studio is not an auto shop.,An art studio is not an auto shop.
19468,2342915028.jpg#3r1e,A young girl chasing a duck with bread in her hands.,A child is chasing an animal.,A duck is animal to chase sometimes.,2.0,A duck is an animal.,A duck is an animal.
23108,4809887792.jpg#1r1c,A musician playing a guitar while he has the microphone inside his mouth.,The man is playing the trombone.,The guitar and the trombone are two different instruments.,0.0,The man can't be playing a guitar and a trombone at the same time.,A guitar is not a trombone.
25590,4663171720.jpg#1r1n,A young couple holding hands in the park.,A man and woman are on a date.,Just because they are a couple does not mean that they are a man and a woman and just because they are in a park does not mean that they are on a date.,1.0,Just because a young couple is holding hands doesn't mean they are on a date.,A man and a woman can hold hands without being on a date.
20466,2679565682.jpg#0r1e,A man with a long white beard is examining a camera and another man with a black shirt is in the background.,a man is with another man,"There are two men in the described scenario, a man and another man",2.0,A man with another man is a rephrasing of a man with a long white beard.,The man is examining a camera and another man.
3126,4638560669.jpg#0r1n,"An older, barefoot boy is talking to a younger, shirtless boy in flip flips in the middle of the street.",An older brother is talking to his younger brother in the middle of the street.,You can not infer it's his brother.,1.0,Not all boys are brothers.,Not all older boys are brother.
13837,5231178541.jpg#2r1n,A cheerful boy rides a makeshift sled down a snowy hill.,A boy is enjoying himself while thinking about sliding down a snow hill with his friends,Just because a boy is cheerful does not mean that he is enjoying himself nor does it infer that he thinking bout sliding down a snow hill with his friends.,1.0,Just because a boy rides a makeshift sled down a snowy hill does not mean he is enjoying himself while thinking about sliding down a snow hill with his friends.,Just because a boy rides a makeshift sled down a snowy hill doesn't mean he is enjoying himself while thinking about sliding down a snow hill with his friends.
7831,6278649113.jpg#1r1n,A person in blue is the only person currently throwing their ball at a bowling alley.,A person just bowled a strike.,"Just because they are bowling, does not mean they bowled a strike.",1.0,Just because a person is throwing their ball does not mean they just bowled a strike.,A person can throw a ball without bowling a strike.
2370,3381746410.jpg#3r1e,A father and son are in a field of yellow flowers.,People are surrounded by flowers.,A father and son are people while they are surrounded by flowers so must be in a field of flowers.,2.0,A father and son are people. Being in a field of yellow flowers implies being surrounded by flowers.,A father and son are people.
12922,6792342642.jpg#4r1n,little girl posing for a picture.,The child is getting her school pictures taken.,Just because a chld is getting their picture taken does not mean it is for school pictures.,1.0,Not all pictures are school pictures.,Not all pictures are school pictures.
2144,3963683506.jpg#0r1e,"Six males, four with shirts and two without, have taken a break from their construction work on a building.",A group of construction workers is taking a break.,six males denotes group and taken a break is other form of taking a break,2.0,"Six males, four with shirts and two without, have taken a break from their construction work on a building. while at the same time wouldnt be A group of construction workers is taking a break.","Six males, four with shirts and two without, have taken a break from their construction work on a building does not mean they are construction workers"
25163,3348208268.jpg#0r1e,"One man watches while another breakdances, balancing himself for a moment on one hand.",A man breakdances while someone watches.,One man watches another breakdance.,2.0,A man is someone.,If someone watches then one man watches
1824,4718049113.jpg#0r1n,"Two young men climb a tree overlooking a rural setting, with one of them out far on a limb and clutching a white helmet.",Two brothers are climbing a tree to get down their Frisbee.,"Young men hanging out doesn't mean they are related, much less brothers.",1.0,Just because two young men climb a tree it does not mean they are brothers.  Climbing a tree does not mean it is to get down a Frisbee.,Two young men climbing a tree does not imply they are climbing a tree to get down their Frisbee.
22710,4093896865.jpg#0r1e,A man wearing a stocking hat and has a beard is looking at the camera with two women sitting on the couch next to him.,a man is taking pictures,A man with a beard and a stocking hat is taking taking pictures of 2 ladies on a couch.,2.0,Just because a man is looking at the camera does not mean he is taking pictures.,Looking at the camera does not imply taking pictures.
4783,2363520556.jpg#3r1c,The Man is outside on the beach walking his dog.,The man and his dog are taking a boat ride.,"The man and dog are either riding the boat, or walking on the beach.",0.0,The man cannot be on the beach and on a boat ride at the same time.,The man and his dog cannot be walking and taking a boat ride at the same time.
28442,3525074413.jpg#3r1c,Hikers walk along some tough terrain.,A mid-day tea party in a miniature house attracts these young girls.,Hikers walk and a tea party attracts young girls are two separate statements. There is no contradiction.,0.0,The terrain is not necessarily a miniature house.,A group of hikers walking along some tough terrain are not a group of young girls.
11486,3277834387.jpg#0r1e,"A lone person in a long, black trench coat and scarf and carrying a red bag goes past an apparently-closed cafe at night, with the text 'CAFE DE FLO' visible on the cafe canopy banner.",A person walks by a cafe.,"A lone person walks by a cafe at night, and therefore a person walks by a cafe.",2.0,A person walks by a cafe is a rephrasing of a lone person goes past an apparently-closed cafe.,"A person who walks by a cafe is a rephrasing of a lone person in a long, black trench coat and scarf."
11126,3494151850.jpg#2r1c,Men wearing life vests speed across a body of water in an orange boat.,The men are fighting a fire.,There is no fire on a body of water.,0.0,The men cannot be fighting a fire while also being in a boat.,The men cannot be fighting a fire while they speed across water.
6134,4831573541.jpg#2r1n,A man holding a pink cooler is talking to an older woman.,A man offers a woman a beer.,The man may not have a beer and he might not offer it to the woman.,1.0,Just because a man is holding a cooler doesn't mean he offers a woman a beer.,A man holding a pink cooler is talking to an older woman does not indicate he offers a woman a beer
25221,6369067441.jpg#2r1e,A group of people taking pictures on a walkway in front of a large body of water.,A group of people posing in front of a body of water.,"If the people are taking pictures of each other, naturally the people are posing.",2.0,Taking pictures is posing.,Taking pictures is posing.
16048,3683974620.jpg#0r1c,"Two dirt bikers- one in black and red, sporting number 64, the other in blue and white displaying a red '21'- round the corner of a tree-lined track.",One man pushes the other man down the hill on the sled as onlookers laugh.,The bikers can't on a sled while on a bike track.,0.0,The man cannot be displaying a red '21'- round the corner of a tree-lined track and pushing the other man down the hill on the sled at the same time.,One man is not two dirt bikers.
10508,4479482872.jpg#0r1e,A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand.,A boy swims.,A boy swims restates a boy swims.,2.0,A boy swims shirtless is same as a boy swims,A boy swims shirtless with a black and red bathing suit is same as a boy swims
9954,4801146545.jpg#2r1n,A large number of people wearing only white and red are walking on a street.,A large number of men walking down the street in red and white.,"Just because a large number of people wearing only white and red are walking on a street, doesn't they were men.",1.0,Not all people are men.,People are not necessarily men.
16536,3397433780.jpg#1r1c,"A man, with a blue wrapping around his foot, is about to kick another man, with a red cloth hanging from his belt, in the head.",a kitten drinks milk,"A man is a human, where a kitten is a cat and a different species.",0.0,A man is not a kitten.,A man is not a kitten.
28986,2043520315.jpg#1r1n,Three people hiking up a mountain with a river and other mountains in the background.,Three friends hiking the Appalachain Trail.,People hiking doesn't necessarily mean its the Appalachain trail.,1.0,Not all mountains are the Appalachain Trail.,Three people hiking up a mountain with a river and other mountains in the background does not mean they are hiking the Appalachain Trail
6383,93270842.jpg#3r1e,"A man wearing a checkered shirt, cream suit and tennis shoes sits on a bench.",the guy in funky clothes is on the bench,A checkered shirt is funky clothes.,2.0,"A man is a guy. A checkered shirt, cream suit and tennis shoes are funky clothes.","A man is a guy. A checkered shirt, cream suit and tennis shoes are all types of clothes."
13096,514461900.jpg#0r1c,Many people who appear to be Asian stand in line at a train station waiting patiently for the next train.,the people are running through fire,People who who are waiting patiently for the next train are not running through fire.,0.0,The people can't be running while they stand.,People who stand in line cannot be running through a fire.
9420,2538642969.jpg#2r1c,Many people on the beach holding a very large net.,The people are playing ice hockey on a pond as the snow begins to fall.,People holding a net cannot be playing ice hockey.,0.0,People cannot be on the beach and on a pond at the same time.,People cannot be on the beach and on a pond at the same time.
22188,6489895665.jpg#1r1n,"Two cars, one red and one blue, race each other in a very tight and competitive nature as fans stand by and watch.",The red and blue cars are racing for the finish line.,The cars are racing because they race each other.,2.0,Racing does not imply that it is the finish line.,Not all cars racing are racing for the finish line.
14664,6269296633.jpg#0r1c,A rocker standing with one foot on the stage holding the microphone attached to the stand over his head.,A man is sound checking his guitar in the back room before a gig.,Answer: Either the man is checking his guitar or holding the microphone.,0.0,The man cannot be on stage and in the back room at the same time.,The man is either on stage or in the back room.
26507,491321888.jpg#0r1e,A young man dressed in a dark bathing suit exits from a swimming pool while water drips off his head and body.,A man was swimming in the pool.,"if a man exits swimming pool, he was swimming in the pool",2.0,The man was swimming in the pool.,The man was swimming in the pool because he was exiting from a swimming pool.
25445,2193223202.jpg#0r1n,On the ground a boy in a red sweatshirt is leaning over holding a football and two other kids.,Timmy hikes the ball as Joe calls the plays,The boys may not be named Timmy or Joe and the latter may not be calling the plays.,1.0,Timmy is not necessarily named Timmy and the kids are not necessarily named Joe.,Timmy hikes the ball is not the same as leaning over holding a football.
19213,2245019332.jpg#1r1c,Little girl is flipping an omelet in the kitchen.,A young girl cooks pancakes.,A Little girl does not have to be young.  If a girl is flipping an omelet the girl does not cook pancakes.,0.0,"Just because the girl is flipping an omelet in the kitchen, does not mean she is cooking pancakes.",You can not infer she cooks pancakes.
